Frame,Right_Knee_Angle,Left_Knee_Angle
0,97.00336452825887,170.03133523126832
1,100.08710083249561,154.88607465938526
2,99.67437108041734,168.42381482187696
3,100.81834610824309,169.62361191796742
4,104.67699099690854,112.11407202921737
5,109.03095994925005,96.6704416620964
6,112.57863830822934,95.92266518098671
7,125.68842701104842,88.32925621724328
8,134.80614628490522,77.33624582374112
9,132.74785734196044,72.55560403075643
10,132.35519626389464,68.51383934396716
11,139.80204361954478,68.70838414719971
12,149.15745149512404,69.7498831099203
13,158.36109703888124,77.0898769126506
14,156.97334216676202,82.67278528953307
15,159.51083987380932,90.9520185384227
16,153.59030377283835,106.48507034546611
17,142.6423975306446,113.95579032788805
18,129.60933132562826,123.05858218392109
19,112.4042554701946,124.8898944321265
20,100.13606330049937,130.0937406677474
21,99.30890090884473,134.3486304506747
22,84.82326356195081,133.7130769664237
23,74.90907894922925,139.39492338669766
24,64.83389065408632,132.58847957857
25,53.17366313266464,141.3308896480189
26,57.233463574932884,147.18961842606936
27,62.67503437202769,149.73164691232824
28,70.98359270834575,149.5973598738721
29,82.17766025976994,160.63839920855747
30,87.82226744951681,159.07159763982594
31,92.80433556746954,146.2682059552092
32,104.06889582408468,131.7634341828852
33,115.17456042986599,121.72672225777498
34,120.50799869334017,102.8109540172565
35,125.82822123255482,86.70227566204494
36,132.38601819193238,77.31809881895045
37,139.55505585553738,73.05578440100206
38,136.2924553510705,61.169392795582574
39,120.32498621909976,56.63536017258111
40,129.52067459257353,53.52489245144455
41,145.40671564008102,54.25890675394691
42,146.93067456132601,70.11913739976019
43,151.2139975728569,74.3413003312964
44,161.91943774991816,83.99761915007217
45,155.5146037313914,92.76699708305475
46,141.75922935747522,105.36057252194976
47,125.51613291844069,117.8210433924648
48,109.13435562628833,121.10412789880237
49,94.31438725719562,131.70334353249834
50,84.30196257231144,138.0095138626909
51,78.04424322491617,139.00591374321945
52,83.97507135045845,141.44468122256012
53,62.7686542653357,133.9011703286176
54,53.30377271845163,132.14722657377115
55,52.532728802334226,139.6982331420034
56,49.96491979716668,143.9540321722005
57,62.72102239438706,153.19881343035846
58,71.38337405151337,155.53660547345137
59,77.81571879004699,159.562871484136
60,91.80599472027433,146.13911323088627
61,104.71212367218504,134.98280387776904
62,116.80112869520035,117.00339676933692
63,125.20941248166909,100.66844096527718
64,135.40990664431388,93.69140949995312
65,145.10083806966202,77.88222800647685
66,147.96472906923458,72.66086497263447
67,152.97275405789074,55.84774102226936
68,136.99866724786278,52.231088050737576
69,141.84223750160302,44.490564086665216
70,138.5127400582847,41.95710978262974
71,148.13393476504177,58.598792428284625
72,150.24927226508993,61.26989424103019
73,155.79013677034047,75.31945374044017
74,157.2297333741448,87.39498673728542
75,149.68067116640566,98.9346531648435
76,140.87817588212104,109.66572431015778
77,125.10766062006465,121.3007679693613
78,115.20898617595599,131.63761178969668
79,97.5024718680845,144.34165545716178
80,88.72834866417995,152.60244038906535
81,75.22021598168709,158.11211212330622
82,64.01592336558603,156.04970986877856
83,61.336082989320076,157.94764367829436
84,47.943174512381695,151.29124283645984
85,43.616863158884435,147.18097697079133
86,54.161573064628385,137.60660849720122
87,45.678156379457675,142.2895164932253
88,62.021663244039786,142.2722205509101
89,66.23298772132631,149.0208168036416
90,77.21101225751094,154.57254698330087
91,90.11125708712335,151.2459386276604
92,99.69911608744243,153.50426873793816
93,117.215973672402,143.16377362266584
94,138.8215827142009,123.93547590903405
95,143.71542432323983,120.23100466227861
96,152.19541752399516,111.81934565087418
97,159.6831632014569,103.17840375439619
98,160.16697388020611,84.64717996701197
99,158.46262463532568,76.76208038068094
100,162.76498608806165,72.13395850167038
101,152.96175551042623,65.4094453708885
102,143.83596237913116,51.84207265096418
103,147.45125255774175,47.70854441200747
104,152.11231238523828,50.905282639590766
105,143.37085863650788,54.3608597028493
106,151.32757743772964,68.29475035839681
107,150.9107838738367,71.85662729008713
108,157.38868640877232,85.76307950912218
109,142.47690964700598,92.439819609144
110,137.4362869615621,106.58322687164849
111,126.57959373589067,111.87001596422287
112,118.31341713762033,128.4138118676509
113,111.94927249226313,131.50725031248706
114,101.95891151617542,89.94504614809851
115,95.02139756374741,94.20221079897095
116,80.28728470375142,76.85762368386037
117,174.04148290976735,179.6412637418297
