packet_counter,timestamp_s,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
45222,0.000,-0.9971674111712034,-0.0019062297655731912,-0.018592150846685866,0.07285500884012944,9.60708030646216,-1.5196841527504423,0.9417242562212037,-0.01072773528562403,0.014293885653274082,-0.0034948839194292557,0.7015414759298948,-0.35549670536630557,-0.4598049862049139
45226,0.033,-0.9969869295136848,-0.00771476370962038,-0.02285419700090923,0.07372401562057403,9.511124886683033,-1.4883096694960656,0.9287193673710133,-0.04135840701101186,0.2672234608170866,0.023113030888859538,0.6985603536849313,-0.35423056539116443,-0.46399115184525436
45232,0.083,-0.9966419459716368,-0.014080469682692665,-0.029890570977608423,0.07492079597826606,9.859768910923195,-1.2532147444599857,0.8478998965274914,-0.009767349537315225,0.38244708704351954,0.05308506547041893,0.7097374748603593,-0.36012671295780935,-0.4443886164397931
45240,0.150,-0.9959363569832914,-0.024086833450099602,-0.0460948496103272,0.07352456822449518,9.671617063113116,-1.3300226593962894,0.43472562689291183,0.08039190803648659,0.5333618074319617,0.19527449026912935,0.725574564050526,-0.365704529632426,-0.4042870222949875
45252,0.250,-0.9940044616678402,-0.04597156493212254,-0.07916911061076215,0.05978291835650194,9.258865325885004,-1.2771548399801413,0.2537568189764947,0.333893342264732,0.7154662548022586,0.2843990963875328,0.7412054960681566,-0.3984777717388401,-0.34531064779002685
45254,0.267,-0.9935999026472239,-0.05018840619960587,-0.08473086069317848,0.055326653511339474,8.806605743227133,-1.0077391675778435,0.3508822949184462,0.5598518337079218,0.7450183101875202,0.28819642185028077,0.7377990378256224,-0.4178223637068112,-0.32686540499293665
45303,0.675,-0.9769374367723306,-0.14129860598518593,-0.15441487718428218,0.042237356492984185,9.421586143470547,-0.6555175058202664,1.1018963765163532,0.15357205223437198,0.5502438978633798,-0.0065388330264879255,0.7653650551598595,-0.4781076056210197,-0.1348923626361546
45315,0.775,-0.9728578642520194,-0.13745285739667826,-0.1773420857312886,0.056604527954619045,18.647441754034908,-2.752143339552497,-1.1078583421602417,-0.3925974430018362,0.3168347402802332,0.26764710993290763,0.7822167248000551,-0.44438288387058333,-0.10488396871422143
45354,1.100,-0.9824451493034697,-0.0691612748078438,-0.16502131030998732,0.05278459832765397,6.202875497479098,-1.9586888117536017,3.0813507855452236,-0.10958264209713588,-0.36467598820419045,0.20136770575619667,0.7856671392261152,-0.41499665914663003,-0.1944773555858234
45363,1.175,-0.9860330404009713,-0.0910169367970787,-0.13245879634066415,0.043696999046565,30.776237793485578,-4.671637854730615,-5.3294105056316,0.46123578720857866,-0.18637005355500103,-0.9496495054601447,0.7598514055528347,-0.43501016030260536,-0.22167229711705935
45369,1.225,-0.988275605461741,-0.10905120203116382,-0.10615471861616863,0.012261268299400111,13.882479222853421,1.2591286671624398,6.268962888129053,1.5250594422237702,-0.37990625907352404,-0.8757546465997699,0.7174292258604089,-0.4904634426791619,-0.23628401329639348
45371,1.242,-0.9888280930418598,-0.1059339511799584,-0.10406055922746033,0.012976918427352475,0.8960200053959332,5.286780194561545,17.16585936671787,-0.12227145394171018,-0.42527349106104906,0.05195265810642964,0.7087096564169524,-0.48749661041981895,-0.24045402299128094
45373,1.258,-0.9896826879739196,-0.09525174399846326,-0.10582311738137898,0.01602342715077378,-4.651037676901461,0.23431937923389345,7.789404851353417,-0.6972793213211973,-0.7235601288878265,0.8943626835250346,0.7157436888584915,-0.4848963226295787,-0.23673166442779417
