packet_counter,timestamp_s,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
58819,0.000,-0.048576359038429495,-0.6208113283282953,0.06636576897725618,-0.7796340273935488,9.864085105372181,-1.0025889632893497,-0.18333384317405288,0.027002703440831048,0.02153269895362578,-0.012001370029327966,-0.4425373463322667,-0.11662080183606116,-0.8501596242679694
58850,0.258,-0.06932567194739236,-0.6443014781718943,0.15133167807571565,-0.7464370567203527,11.838932102449103,2.325341526749068,-1.458003003192912,-0.542374891246837,-0.10663848337515978,0.12365490322897091,-0.46800660492948176,0.023179451500480855,-0.8720713425843107
58855,0.300,-0.07839370237011807,-0.6448711543907776,0.14843519595113175,-0.7456290057839494,-4.854618344042673,-26.030048337536154,14.75120319041132,-0.19235996224475232,0.05355032892727387,-0.4258233470138275,-0.4650830850273915,0.037369490984789394,-0.8712473153958625
58863,0.367,-0.0822898755667721,-0.6732119001440615,0.1505443651461278,-0.7192708168738509,1.7107075832391125,1.748510332549444,2.7880287136453816,-0.18031841786655878,-1.1205798642048754,-0.2750692038643853,-0.5365294290911423,0.0375017304738378,-0.8507874220406059
58911,0.767,-0.04534577710664072,-0.6468183484321337,0.13580225389220904,-0.7490844628397508,12.191956097140183,2.1138851536538565,-1.8828602498265568,0.19263332170918443,0.17283289733485893,0.111681236640767,-0.48995837353450544,0.008175570641603982,-0.8427281524988698
58917,0.817,-0.0803397451058684,-0.6308120104700278,0.18182715001384236,-0.7500404124585086,-0.672281006131988,-26.85715150900684,15.822450871318054,-2.3013819888758897,0.6169901121781413,0.26566306322043926,-0.46108570803914145,0.09927119746528895,-0.8510637750094233
58925,0.883,-0.08185039315341937,-0.6642928799871385,0.1744811603852844,-0.7221992851073923,5.7976170893922525,2.5434725737725277,0.39501785869218853,0.06580220707934842,-1.2385058810986396,-0.46769556045099603,-0.5212596517862481,0.09777333641734247,-0.836088023882759
58926,0.892,-0.08235789304111601,-0.6646080455092013,0.17967379898352712,-0.7205766088745144,-0.03781724022439214,-9.524271642333058,9.623782321413623,-1.0326664470267308,-0.40545101518796556,0.6830378231873455,-0.5213134985797732,0.10555477843902449,-0.8289908058000854
58929,0.917,-0.0858508182921345,-0.6548420849051458,0.18558968871984277,-0.7275767645249022,-3.550465343778435,-6.268351120918176,-3.185530496100553,-0.4842499154793201,0.9394557812190449,0.32403554246075006,-0.49587294964364764,0.1165928100346176,-0.8354746576203236
58960,1.175,-0.0063644933111758105,-0.6743197558589924,0.07040417950183017,-0.7350480335269495,9.08429781544896,1.2703943263583684,0.28694334892304163,1.0817963912651878,-0.10232275926136766,-0.17837898786671683,-0.5201632130119418,-0.11741300457357462,-0.8197048655419105
58962,1.192,-0.012736962901513878,-0.6689763726574655,0.08109074798862703,-0.7387372152482579,-10.461442194535021,8.293259284562863,-9.357023797937332,-1.418016653550664,0.8203681040457376,0.3790643229761691,-0.5091294648864811,-0.08633532909439452,-0.8259133309606845
58973,1.283,-0.07729520061841243,-0.6349456318616997,0.1589782461747829,-0.752060777985594,26.99817957380487,4.104976450671395,-5.6501747320100115,-2.1824528979133184,0.8341526928536994,0.1946178051767345,-0.43798648087517694,0.09355502626727938,-0.8707484140031573
58987,1.400,-0.10185466621077549,-0.6602529441948441,0.18556900411386618,-0.7205940753054522,1.6219530454492264,-9.97742565708876,5.858648353995543,-0.6590117940094651,-0.6297031263456294,-0.15796826878046022,-0.5165778552783635,0.16672678030531699,-0.8417544226245837
58990,1.425,-0.10163286937168595,-0.6439247902892851,0.18545465357995083,-0.735281031837296,-6.629073195188949,-9.35925729568037,1.935379991467249,0.11203807604042046,1.709964261073936,0.41199297456788,-0.485597019707615,0.17270861407250468,-0.8705181836431033
58995,1.467,-0.10752848187421007,-0.6236977848861719,0.20504300997563474,-0.7465896213945397,18.561007086394667,13.43814126038609,-10.803209286222096,-0.8627342819737234,1.0041236413589185,0.6619219943784738,-0.43643131423204545,0.2155708490651016,-0.8826477679151403
59022,1.692,-0.01974159026550543,-0.6714116835503018,0.0807431952287524,-0.7364082816143435,7.019823694298507,-0.4335603090665975,1.5756773854018487,1.3507279898048652,-0.4073364729020595,-0.23318953336193077,-0.5455343647627522,-0.05862243637439988,-0.8223678342891191
59024,1.708,-0.01669246826936801,-0.66092538631389,0.0644598972505552,-0.7474917503727779,14.202829816658864,-13.531949309877959,-7.2047705528647095,1.817208092736681,1.8722568186936466,-0.8734104811921032,-0.509105113420167,-0.07690455556538184,-0.8291229495052451
59027,1.733,-0.015729052903732995,-0.6638217139162751,0.06580131833359118,-0.7448244863949977,52.69340434175328,6.946810741367031,-13.396174567697097,0.0016739344463032686,-0.3230583471492215,0.09722415739358173,-0.5198698109868207,-0.07950237560304833,-0.8261967846942657
59029,1.750,-0.03367371872429653,-0.6667112367691804,0.10534468580464618,-0.737064925637971,29.302774020856074,23.080869520694982,-9.595145393535464,-4.9553472401919745,-0.8538801104512681,1.520241242267416,-0.5286440460196533,0.0020194239446176933,-0.8281844438376451
59033,1.783,-0.10474518053863321,-0.6358468203231996,0.19434121621203992,-0.7395666027613952,14.395002369004095,-15.955022914970634,22.492380696220344,-6.806395870326432,1.718137368203933,0.7172693593400402,-0.48284937746753925,0.19588824775348962,-0.846512792412877
